"Y","ID","Operator","Date","Priority","Price","Speed","Duration","Temp","Location","Agreed","State","Class","Surface","sensor1","sensor2","sensor3","sensor4","sensor5","sensor6","sensor7","sensor8","sensor9","sensor10","sensor11","sensor12","sensor13","sensor14","sensor15","sensor16","sensor17","sensor18","sensor19","sensor20","sensor21","sensor22","sensor23","sensor24","sensor25","sensor26","sensor27","sensor28","sensor29","sensor30"
19.1087964239519,"G9939","HH",2019-01-11,"Medium","Expensive","Medium","Very Long","Warm",NA,"Yes","Uncertain","Plastic","Smooth",NA,35.4947636542714,38.6013199920001,39.3074414161486,43.1525048025822,25.370467937955,40.0457757053596,35.0161374780967,33.8759687997117,33.9054788412337,76.2900469390212,NA,92.4293526567867,83.9398944034591,93.3349509361469,77.7618771581474,78.1947345473621,73.0347960440501,69.1343137237372,NA,42.8238355127484,62.6281199112585,41.7183525290463,48.2858417508029,46.0505225040481,NA,45.4590526343934,46.2036483803322,52.1238375607693,55.4046274980573
25.7769981206289,"G9940","HH",2019-01-19,"High","Fair","Fast","Long","Warm","Steam plant","No","Under review","Wooden","Smooth",7.31688655046351,6.33013485612446,-0.0280794935230171,4.07618676972723,3.73215171257731,7.10517442868527,10.5003473876989,6.50685380161909,6.40799128684055,-4.23720433080362,37.4144360947445,41.4937411645345,27.5713516608929,39.7003357606311,24.5172111899828,36.8570177487826,36.4894937377894,44.1846764625645,40.3782668393012,20.273872361532,70.8716275486588,41.3120089702159,37.1396217015547,27.4743626821788,45.2068584137887,30.5691934045554,44.2968002605062,43.5373566362946,41.8956896509868,37.2374327212746
27.6447750683577,"G9941","HH",2019-01-26,"High","Fair","Fast","Long","Warm","Storage tanks","Yes","Under review","Ceramic","Rough",37.3251816003333,33.3984294646475,42.101739033563,37.8206613901243,NA,37.2446203017081,43.0290618919452,36.7128058489053,39.1187009959502,35.4077490221393,67.9630475144838,82.3640388205846,76.4003745150061,87.8371505000207,68.3597483699826,NA,NA,75.9638268046728,77.293070529086,NA,-37.3667355738242,-22.6425896256748,-20.4080844503212,-27.921499299874,-7.31796436222281,NA,-34.233006035142,-16.4797795459072,-4.88598326953215,-38.133239972012
17.0877739982709,"G9942","KG",2019-02-02,"High","Expensive","Fast","Short","Hot","Storage tanks","No","Uncertain","Plastic","Smooth",-2.30057329228189,-0.388773430473342,3.14773998497849,-0.320679153675651,5.10655969248928,0.752278907216368,-4.27765414852712,1.78833028740897,10.1671096784455,0.768864198349856,81.9703493997989,71.4018846434362,92.8507679655913,71.3927141554115,89.2488685832787,93.5413050964412,76.3850664643827,74.2501661759937,80.8311680589988,85.4142315194909,77.5202076874309,67.0938771822801,72.3277587646814,53.0130300907575,59.8841486808098,84.8474318679705,53.4996134182975,51.7867053851448,71.0736310845697,66.504799187806
9.6532479952289,"G9943","HH",2019-02-09,"Low","Expensive","Fast","Very Long","Warm","Storage tanks","Yes","Uncertain","Ceramic","Smooth",25.7145884885252,38.9778516416479,34.0179223936259,23.5655837121565,32.3775412448466,21.2848439323686,31.1396738102531,33.901531428617,33.3152681915125,22.7324541379718,35.7962105218945,45.7258591539397,25.2699874166989,47.482415262578,46.7771557056584,39.2235400151351,69.1203498704093,48.8943234625791,54.3018683090277,50.4252816630871,56.2670868580161,86.3404908924877,86.9688108303305,80.3942031471797,63.7808965454803,104.391331595595,67.6559346398803,74.8782701167404,63.5628763511905,71.047371961106
10.6360519944987,"G9944","KG",2019-02-16,"Medium","Fair","Fast","Very Long","Hot","Steam plant","Yes","Under review","Wooden","Textured",21.1589347534299,19.5656562616141,24.6978252626168,26.6915038374645,22.5458079751986,17.0433000671887,19.2432499358762,13.2179230220749,NA,18.4240679773208,57.201867828337,56.5197995477012,64.9107332434132,56.082035917297,51.0887347872548,66.5205486860758,72.2028824672028,51.40723874925,43.6212098685778,43.1200212838559,-14.8357727669436,-3.91562869679788,-7.27072044015553,-19.5228781146107,-23.5441718809457,-26.7547390917876,-12.1333485308061,-28.9402816902364,-1.15352127157414,-19.06378816401
23.3753535830197,"G9945","KG",2019-02-23,"High","Fair","Fast","Long","Warm","Steam plant","No","Checked","Wooden","Textured",17.3577434673856,19.0549718605637,24.1709876690781,14.6659668819147,16.5980755133126,18.1173556090424,17.0115500059269,10.8139679203013,NA,9.95064316123352,41.5272927677998,56.3518223020533,54.2735910647747,58.6172050070393,47.0966973154811,56.8376195478358,65.1316805843306,56.0114624088416,36.400810719594,41.6208609701611,11.3463136963271,7.80689532356917,36.4220838650804,8.37982325440219,31.1239013520626,37.4324766640886,46.279745580766,14.8365813507972,15.2678655416902,36.8605359472199
27.3288775701691,"G9946","HH",2019-03-01,"High","Cheap","Medium","Long","Hot","Storage tanks","Yes","Checked","Wooden","Textured",16.2904865109326,27.9755429896351,23.5003241634244,18.9984360821799,23.4965037758992,28.0418319525431,20.1095161928076,29.7577319769816,26.9524800064943,22.2460140667327,53.9434583905438,67.7002025846801,58.1720602749851,61.1888763214782,49.0526128641047,56.3882899115063,67.3978296389778,59.7956270184938,61.7834509534541,49.8699519222897,14.4186265761487,-7.9560310236577,-6.93346965154305,0.0876361800618994,-11.7182392620901,-27.0891428164193,-31.4351482040948,-25.4859134905861,-35.1373002185301,-5.19542187799736
23.2883552835637,"G9947","HH",2019-03-09,"Medium",NA,"Fast","Long","Hot","Storage tanks","Yes","Uncertain","Wooden","Rough",12.3062215537676,14.4064398304347,16.8392584019338,13.4883400476705,15.9270374502981,7.49795511503514,3.2003229023664,14.9929823321491,8.0192795982968,8.95416196104575,102.279064926938,NA,NA,101.851404025318,87.403136801954,113.392463507288,93.820549049333,89.6039709998991,NA,NA,120.748591811541,87.7630172523361,101.642144437682,99.5791885101136,85.1253547023051,88.4102903924113,90.1017413026707,95.2564765810744,104.629757845383,94.1270965696838
20.7004218606067,"D10","XG",2019-03-16,"Medium","Cheap","Slow","Short","Hot","Steam plant","Yes","Under review","Wooden","Rough",17.3720844749016,16.4965344200503,355.424205102026,339.172032619826,19.8531646433291,17.9110494371178,13.3196448179662,20.4024975072589,11.8941470524781,16.007989093915,114.295142541618,82.7769461430665,345.427423114888,82.8662148203219,109.138892494083,95.3421407320202,324.40075796796,109.107419205889,95.6417717553933,105.295612066112,-7.49996779374595,359.357586472761,-20.7903751661734,341.28566588508,-2.03521429900806,-40.2067717470281,367.261645784602,-2.17562915215075,-15.198177136452,-1.23490067649396
16.6914253764872,"D11","XG",2019-03-23,"Medium","Expensive","Slow","Long","Warm","Control room","No","Under review","Ceramic","Rough",13.0285008417754,17.8986734175782,333.698576588649,343.907530796714,19.286989046115,16.8362157911123,16.837514836912,12.0897327666795,29.0533991635185,19.6236823864269,41.1068032409355,49.1581472167239,367.7126835729,37.8553699541058,46.6231659833591,63.8394153130416,369.457601842005,49.4317212388904,54.4157385606575,56.2598614581493,4.71454659677438,339.543149298988,-23.6449251756511,341.327065362129,-10.9459270293178,-7.58472107358104,341.908877731767,-7.25643242913626,-8.74415542760544,-8.90254388463111
35.4096157717449,"D12","XG",2019-03-30,"High","Fair","Medium","Long","Hot","Steam plant","Yes","Under review","Ceramic","Rough",35.9901722007207,36.9517840604129,342.203202918172,337.208275443409,38.464331538176,41.0746692364893,41.3922712778898,44.0826067528205,33.7663692663731,36.4641235568255,37.7377478002095,59.265213401588,353.818424341734,65.346377206319,57.5923888536361,56.5653446125081,329.109814278781,43.309147402191,61.9807306610554,53.6458915752225,-45.04394903084,341.324385027401,-12.0388572905362,322.234016079456,-5.02375069669609,-19.7702329360305,340.155018917285,-43.3946472985773,-30.3734325668531,-41.4633827706638
10.6580558999876,"D13","XG",2019-04-05,"High","Expensive","Medium","Very Long","Hot","Control room","Yes","Checked","Plastic","Rough",21.2354798450914,20.6509170838238,323.261606115848,363.196258717217,17.5637677764619,18.2124668189352,21.9094551080079,31.8563936733843,6.36624375847227,18.4055103294027,70.0734474362514,83.3057536305471,343.933422099799,65.0068385844042,68.3368806660165,79.6756544708368,342.737557417713,60.3365343511425,65.7786094938419,79.7753190063742,-18.7052751608012,336.961220896337,-18.8132394262522,362.519234295469,-17.7496851048768,-21.2336665126494,364.94714360917,-7.89514494617603,-26.2937973971685,-15.2406640403977
